,Bagerhat,Bandarban,Barguna,Barisal,Bhola,Bogra,Brahamanbaria,Chandpur,Chapainawabganj,Chattogram,Chuadanga,Cox’s bazar,Cumilla,Dhaka (District),Dhaka City,Dinajpur,Faridpur,Feni,Gaibandha,Gazipur,Gopalganj,Habiganj,Jamalpur,Jessore,Jhalokathi,Jhenaidah,Joypurhat,Khagrachhari,Khulna,Kishoreganj,Kurigram,Kushtia,Lakshmipur,Lalmonirhat,Madaripur,Magura,Manikganj,Meherpur,Moulvibazar,Munshiganj,Mymensingh,Naogaon,Narail,Narayanganj,Narsingdi,Natore,Netrokona,Nilphamari,Noakhali,Pabna,Panchagarh,Pirojpur,Potuakhali,Rajbari,Rajshahi,Rangamati,Rangpur,Satkhira,Shariatpur,Sherpur,Sirajganj,Sunamganj,Sylhet,Tangail,Thakurgaon,total
2020-07-21,1.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,25.0,0.0,2.0,14.0,0.0,281.0,1.0,1.0,0.0,0.0,16.0,0.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,9.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.0,22.0,34.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,17.0,20.0,0.0,527.0
2020-07-20,2.0,1.0,2.0,4.0,0.0,5.0,20.0,5.0,24.0,35.0,1.0,8.0,31.0,0.0,379.0,1.0,2.0,3.0,1.0,19.0,1.0,21.0,8.0,1.0,1.0,0.0,3.0,13.0,2.0,10.0,0.0,4.0,11.0,0.0,17.0,1.0,11.0,0.0,24.0,2.0,5.0,16.0,0.0,14.0,7.0,1.0,1.0,2.0,10.0,2.0,0.0,3.0,10.0,30.0,37.0,1.0,2.0,1.0,20.0,1.0,3.0,17.0,16.0,17.0,0.0,886.0
2020-07-19,2.0,1.0,1.0,2.0,1.0,4.0,11.0,4.0,4.0,39.0,1.0,5.0,32.0,0.0,327.0,1.0,1.0,1.0,7.0,17.0,2.0,4.0,17.0,1.0,1.0,2.0,7.0,1.0,2.0,13.0,0.0,4.0,20.0,1.0,16.0,6.0,7.0,0.0,1.0,2.0,2.0,38.0,0.0,14.0,10.0,2.0,1.0,3.0,13.0,15.0,0.0,1.0,12.0,24.0,38.0,1.0,11.0,1.0,10.0,1.0,5.0,36.0,13.0,18.0,0.0,764.0
2020-07-18,1.0,1.0,1.0,3.0,1.0,1.0,22.0,5.0,1.0,47.0,1.0,10.0,37.0,0.0,168.0,2.0,2.0,2.0,1.0,7.0,3.0,11.0,12.0,2.0,1.0,1.0,10.0,1.0,2.0,10.0,0.0,5.0,1.0,1.0,16.0,10.0,11.0,0.0,2.0,1.0,1.0,5.0,0.0,7.0,8.0,4.0,1.0,4.0,3.0,4.0,0.0,2.0,7.0,19.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,18.0,1.0,2.0,497.0
2020-07-17,1.0,1.0,2.0,3.0,1.0,1.0,22.0,5.0,1.0,47.0,1.0,10.0,37.0,0.0,168.0,2.0,2.0,2.0,1.0,7.0,3.0,11.0,12.0,2.0,1.0,1.0,14.0,1.0,2.0,7.0,0.0,5.0,1.0,2.0,16.0,10.0,11.0,0.0,2.0,1.0,1.0,5.0,0.0,7.0,8.0,4.0,1.0,6.0,3.0,4.0,0.0,2.0,7.0,19.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,18.0,1.0,2.0,497.0
2020-07-16,1.0,1.0,2.0,3.0,1.0,6.0,42.0,6.0,34.0,36.0,1.0,6.0,31.0,0.0,270.0,2.0,2.0,2.0,4.0,8.0,2.0,6.0,11.0,2.0,1.0,4.0,17.0,9.0,2.0,4.0,1.0,5.0,14.0,2.0,5.0,6.0,11.0,0.0,4.0,1.0,2.0,23.0,1.0,14.0,7.0,4.0,1.0,7.0,19.0,38.0,0.0,1.0,13.0,25.0,21.0,12.0,1.0,1.0,25.0,1.0,6.0,13.0,26.0,4.0,2.0,815.0
2020-07-15,1.0,2.0,1.0,4.0,1.0,3.0,6.0,1.0,7.0,29.0,1.0,7.0,33.0,0.0,207.0,2.0,28.0,4.0,4.0,11.0,4.0,5.0,10.0,2.0,2.0,2.0,1.0,7.0,1.0,4.0,1.0,3.0,16.0,1.0,15.0,2.0,5.0,0.0,2.0,1.0,3.0,10.0,1.0,9.0,10.0,3.0,2.0,10.0,4.0,3.0,1.0,2.0,6.0,27.0,31.0,6.0,1.0,1.0,13.0,2.0,3.0,27.0,5.0,3.0,2.0,554.0
2020-07-14,3.0,2.0,4.0,1.0,1.0,5.0,5.0,4.0,1.0,25.0,2.0,6.0,24.0,0.0,214.0,2.0,54.0,3.0,3.0,6.0,2.0,4.0,8.0,3.0,2.0,1.0,32.0,5.0,1.0,3.0,2.0,1.0,22.0,1.0,49.0,2.0,12.0,0.0,1.0,1.0,4.0,17.0,1.0,20.0,8.0,2.0,4.0,13.0,13.0,3.0,1.0,2.0,11.0,28.0,33.0,1.0,3.0,1.0,1.0,2.0,6.0,11.0,16.0,3.0,2.0,688.0
2020-07-13,3.0,2.0,8.0,1.0,1.0,5.0,5.0,4.0,1.0,25.0,2.0,6.0,24.0,0.0,214.0,2.0,54.0,3.0,3.0,6.0,2.0,4.0,8.0,3.0,3.0,1.0,32.0,3.0,1.0,3.0,2.0,1.0,22.0,1.0,49.0,1.0,12.0,0.0,1.0,1.0,4.0,17.0,1.0,20.0,8.0,2.0,4.0,16.0,13.0,3.0,1.0,2.0,11.0,28.0,33.0,1.0,3.0,2.0,1.0,2.0,6.0,11.0,16.0,3.0,2.0,688.0
2020-07-12,1.0,3.0,11.0,10.0,3.0,6.0,3.0,5.0,2.0,24.0,2.0,1.0,33.0,0.0,637.0,2.0,6.0,6.0,3.0,14.0,5.0,9.0,7.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,16.0,1.0,21.0,1.0,17.0,0.0,18.0,2.0,3.0,2.0,1.0,10.0,4.0,1.0,1.0,19.0,15.0,3.0,1.0,2.0,2.0,19.0,39.0,2.0,3.0,2.0,3.0,2.0,6.0,10.0,2.0,10.0,2.0,1017.0
2020-07-11,1.0,3.0,11.0,10.0,3.0,6.0,3.0,5.0,2.0,24.0,2.0,1.0,33.0,0.0,637.0,2.0,6.0,6.0,3.0,14.0,5.0,9.0,7.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,16.0,1.0,21.0,1.0,17.0,0.0,18.0,2.0,3.0,2.0,2.0,10.0,4.0,1.0,1.0,22.0,15.0,3.0,1.0,3.0,2.0,19.0,39.0,2.0,3.0,2.0,3.0,2.0,6.0,10.0,2.0,10.0,2.0,1017.0
2020-07-10,2.0,8.0,9.0,8.0,3.0,10.0,33.0,9.0,3.0,64.0,2.0,8.0,41.0,0.0,656.0,3.0,8.0,6.0,3.0,12.0,2.0,4.0,14.0,2.0,1.0,4.0,16.0,6.0,2.0,6.0,3.0,3.0,2.0,3.0,8.0,1.0,6.0,1.0,1.0,24.0,5.0,36.0,2.0,17.0,13.0,2.0,3.0,25.0,3.0,7.0,1.0,3.0,6.0,10.0,24.0,3.0,4.0,3.0,22.0,2.0,4.0,9.0,9.0,18.0,2.0,1126.0
2020-07-09,3.0,2.0,1.0,9.0,1.0,13.0,40.0,12.0,15.0,63.0,2.0,34.0,78.0,0.0,546.0,2.0,3.0,14.0,2.0,5.0,6.0,23.0,9.0,4.0,1.0,5.0,31.0,1.0,14.0,3.0,3.0,4.0,21.0,2.0,23.0,2.0,2.0,1.0,38.0,4.0,2.0,70.0,3.0,17.0,7.0,2.0,1.0,28.0,10.0,4.0,1.0,4.0,15.0,16.0,7.0,2.0,3.0,4.0,4.0,2.0,3.0,13.0,18.0,12.0,2.0,1255.0
2020-07-08,3.0,5.0,1.0,8.0,2.0,3.0,14.0,50.0,1.0,96.0,2.0,17.0,53.0,0.0,581.0,8.0,4.0,3.0,3.0,15.0,2.0,1.0,7.0,20.0,1.0,3.0,1.0,1.0,23.0,1.0,3.0,3.0,24.0,1.0,5.0,3.0,46.0,2.0,1.0,4.0,9.0,3.0,3.0,42.0,3.0,3.0,1.0,31.0,28.0,10.0,1.0,2.0,6.0,25.0,10.0,1.0,11.0,1.0,16.0,2.0,2.0,16.0,15.0,16.0,2.0,1253.0
2020-07-07,18.0,20.0,1.0,6.0,3.0,6.0,15.0,4.0,1.0,227.0,1.0,37.0,142.0,0.0,447.0,3.0,84.0,6.0,4.0,5.0,24.0,26.0,10.0,102.0,1.0,5.0,4.0,1.0,84.0,3.0,3.0,1.0,19.0,7.0,25.0,5.0,6.0,2.0,31.0,2.0,4.0,12.0,2.0,36.0,6.0,1.0,1.0,1.0,35.0,3.0,2.0,1.0,6.0,9.0,2.0,2.0,19.0,40.0,16.0,2.0,1.0,25.0,31.0,5.0,2.0,1612.0
2020-07-06,13.0,12.0,4.0,9.0,5.0,10.0,46.0,27.0,1.0,477.0,2.0,123.0,170.0,0.0,713.0,5.0,6.0,18.0,1.0,25.0,7.0,5.0,11.0,2.0,1.0,1.0,6.0,2.0,5.0,3.0,2.0,5.0,25.0,4.0,38.0,4.0,2.0,2.0,3.0,6.0,6.0,21.0,1.0,46.0,8.0,3.0,1.0,7.0,62.0,53.0,2.0,9.0,11.0,34.0,6.0,8.0,12.0,2.0,16.0,2.0,5.0,31.0,147.0,7.0,1.0,2216.0
2020-07-05,13.0,19.0,4.0,23.0,7.0,15.0,102.0,20.0,2.0,533.0,3.0,112.0,117.0,0.0,619.0,51.0,14.0,24.0,6.0,43.0,4.0,70.0,15.0,5.0,1.0,4.0,26.0,3.0,55.0,4.0,1.0,1.0,17.0,2.0,52.0,2.0,6.0,1.0,46.0,24.0,9.0,18.0,1.0,39.0,13.0,5.0,3.0,13.0,39.0,20.0,2.0,17.0,16.0,21.0,12.0,1.0,5.0,11.0,25.0,2.0,5.0,69.0,117.0,8.0,14.0,2550.0
2020-07-04,19.0,14.0,6.0,21.0,4.0,14.0,24.0,15.0,2.0,173.0,3.0,84.0,121.0,0.0,605.0,19.0,15.0,16.0,57.0,27.0,12.0,41.0,18.0,4.0,1.0,2.0,6.0,7.0,37.0,3.0,32.0,7.0,40.0,26.0,20.0,1.0,13.0,6.0,12.0,10.0,21.0,25.0,3.0,16.0,5.0,15.0,6.0,7.0,85.0,58.0,1.0,42.0,13.0,22.0,3.0,15.0,28.0,9.0,36.0,2.0,4.0,68.0,31.0,6.0,2.0,1977.0
2020-07-03,2.0,22.0,1.0,7.0,3.0,61.0,30.0,40.0,2.0,133.0,23.0,68.0,50.0,0.0,396.0,4.0,4.0,11.0,6.0,22.0,7.0,26.0,24.0,3.0,3.0,19.0,2.0,22.0,4.0,28.0,31.0,66.0,3.0,2.0,33.0,2.0,11.0,11.0,34.0,5.0,104.0,92.0,18.0,38.0,7.0,36.0,8.0,3.0,3.0,20.0,1.0,4.0,2.0,30.0,21.0,31.0,3.0,6.0,1.0,4.0,2.0,66.0,42.0,9.0,2.0,1726.0
2020-07-02,4.0,11.0,2.0,4.0,2.0,8.0,44.0,86.0,3.0,290.0,25.0,39.0,158.0,0.0,610.0,2.0,22.0,33.0,53.0,23.0,2.0,11.0,12.0,11.0,1.0,19.0,12.0,13.0,21.0,4.0,30.0,72.0,1.0,6.0,39.0,2.0,5.0,13.0,20.0,18.0,39.0,35.0,19.0,74.0,4.0,23.0,8.0,2.0,3.0,19.0,1.0,3.0,2.0,30.0,2.0,37.0,28.0,4.0,1.0,2.0,6.0,67.0,172.0,20.0,2.0,2308.0
2020-07-01,2.0,45.0,2.0,2.0,3.0,174.0,8.0,97.0,3.0,270.0,1.0,89.0,114.0,0.0,879.0,6.0,2.0,41.0,96.0,38.0,4.0,16.0,7.0,3.0,2.0,12.0,22.0,37.0,1.0,1.0,41.0,3.0,16.0,19.0,5.0,1.0,12.0,10.0,7.0,5.0,112.0,112.0,1.0,70.0,4.0,31.0,20.0,1.0,39.0,4.0,1.0,2.0,3.0,25.0,41.0,80.0,29.0,1.0,6.0,1.0,9.0,26.0,198.0,28.0,2.0,2911.0
2020-06-30,2.0,52.0,3.0,6.0,25.0,136.0,17.0,51.0,2.0,370.0,3.0,131.0,89.0,0.0,1021.0,5.0,8.0,60.0,4.0,37.0,7.0,57.0,14.0,2.0,9.0,4.0,57.0,6.0,225.0,19.0,1.0,4.0,69.0,15.0,15.0,1.0,46.0,6.0,57.0,6.0,26.0,98.0,2.0,92.0,5.0,55.0,4.0,1.0,114.0,5.0,1.0,2.0,8.0,24.0,29.0,84.0,22.0,9.0,34.0,3.0,10.0,19.0,186.0,25.0,2.0,3457.0
2020-06-29,2.0,7.0,1.0,23.0,2.0,51.0,5.0,15.0,4.0,127.0,2.0,57.0,85.0,0.0,577.0,3.0,5.0,23.0,3.0,29.0,6.0,5.0,11.0,3.0,4.0,1.0,30.0,9.0,14.0,1.0,2.0,3.0,46.0,10.0,19.0,2.0,7.0,3.0,11.0,6.0,32.0,50.0,2.0,46.0,4.0,1.0,8.0,2.0,60.0,1.0,1.0,1.0,6.0,6.0,16.0,5.0,16.0,6.0,86.0,9.0,4.0,25.0,111.0,9.0,2.0,1568.0
2020-06-28,2.0,99.0,17.0,50.0,32.0,69.0,13.0,83.0,6.0,138.0,2.0,198.0,529.0,0.0,1707.0,4.0,4.0,40.0,2.0,26.0,4.0,69.0,8.0,7.0,2.0,4.0,4.0,12.0,4.0,6.0,3.0,2.0,19.0,6.0,4.0,2.0,28.0,6.0,16.0,7.0,163.0,3.0,2.0,141.0,9.0,6.0,84.0,5.0,56.0,2.0,2.0,36.0,35.0,121.0,3.0,4.0,9.0,2.0,4.0,6.0,8.0,28.0,267.0,31.0,2.0,4228.0
2020-06-27,32.0,18.0,35.0,64.0,17.0,90.0,9.0,62.0,2.0,68.0,3.0,28.0,314.0,0.0,1368.0,24.0,124.0,17.0,7.0,42.0,41.0,44.0,8.0,11.0,2.0,22.0,3.0,20.0,163.0,8.0,4.0,7.0,6.0,5.0,18.0,9.0,5.0,8.0,12.0,5.0,61.0,3.0,9.0,179.0,11.0,4.0,12.0,6.0,41.0,7.0,4.0,16.0,18.0,61.0,10.0,2.0,2.0,12.0,3.0,2.0,39.0,71.0,157.0,37.0,2.0,3475.0
2020-06-26,6.0,48.0,1.0,29.0,9.0,31.0,6.0,54.0,4.0,210.0,8.0,77.0,120.0,0.0,704.0,3.0,147.0,50.0,1.0,30.0,35.0,44.0,5.0,81.0,2.0,6.0,2.0,5.0,135.0,22.0,2.0,103.0,1.0,4.0,3.0,2.0,11.0,5.0,34.0,26.0,4.0,3.0,43.0,73.0,8.0,1.0,4.0,5.0,31.0,31.0,3.0,12.0,8.0,31.0,18.0,7.0,8.0,17.0,1.0,2.0,3.0,61.0,99.0,8.0,2.0,2526.0
2020-06-25,1.0,36.0,2.0,5.0,19.0,90.0,2.0,30.0,2.0,164.0,6.0,173.0,92.0,0.0,670.0,1.0,1.0,16.0,1.0,13.0,1.0,31.0,7.0,54.0,2.0,6.0,2.0,3.0,5.0,1.0,1.0,59.0,6.0,4.0,4.0,1.0,28.0,2.0,25.0,7.0,7.0,2.0,1.0,56.0,3.0,7.0,4.0,4.0,15.0,34.0,2.0,9.0,12.0,32.0,22.0,10.0,4.0,2.0,1.0,9.0,11.0,10.0,104.0,8.0,1.0,1865.0
2020-06-24,9.0,37.0,6.0,7.0,3.0,32.0,47.0,50.0,4.0,231.0,4.0,193.0,82.0,0.0,802.0,11.0,60.0,71.0,4.0,51.0,20.0,32.0,7.0,27.0,10.0,5.0,2.0,5.0,201.0,11.0,1.0,28.0,6.0,3.0,5.0,4.0,16.0,6.0,11.0,19.0,153.0,2.0,14.0,142.0,6.0,1.0,11.0,3.0,23.0,6.0,1.0,3.0,1.0,13.0,2.0,3.0,1.0,2.0,2.0,6.0,6.0,23.0,113.0,34.0,1.0,2645.0
2020-06-23,30.0,51.0,9.0,12.0,2.0,62.0,15.0,48.0,5.0,259.0,5.0,121.0,77.0,0.0,927.0,8.0,73.0,43.0,6.0,64.0,20.0,27.0,5.0,26.0,17.0,12.0,1.0,8.0,72.0,12.0,2.0,70.0,7.0,2.0,5.0,16.0,5.0,4.0,29.0,30.0,53.0,1.0,7.0,79.0,8.0,4.0,107.0,2.0,39.0,60.0,1.0,11.0,12.0,20.0,15.0,3.0,19.0,6.0,21.0,3.0,26.0,2.0,103.0,19.0,2.0,2796.0
2020-06-22,2.0,27.0,1.0,53.0,3.0,110.0,3.0,35.0,5.0,158.0,12.0,147.0,156.0,0.0,876.0,13.0,67.0,2.0,2.0,31.0,26.0,1.0,24.0,23.0,2.0,8.0,2.0,10.0,58.0,8.0,3.0,31.0,4.0,4.0,7.0,8.0,6.0,10.0,38.0,6.0,113.0,2.0,7.0,38.0,22.0,8.0,7.0,8.0,3.0,52.0,4.0,10.0,11.0,4.0,17.0,16.0,27.0,6.0,2.0,18.0,8.0,26.0,46.0,16.0,2.0,2300.0
2020-06-21,17.0,28.0,2.0,104.0,2.0,159.0,20.0,44.0,5.0,584.0,11.0,344.0,123.0,0.0,1311.0,35.0,46.0,11.0,12.0,96.0,28.0,80.0,33.0,25.0,26.0,1.0,4.0,53.0,351.0,26.0,7.0,89.0,9.0,8.0,5.0,5.0,16.0,3.0,47.0,42.0,177.0,4.0,9.0,98.0,13.0,33.0,3.0,8.0,13.0,10.0,2.0,4.0,8.0,4.0,23.0,68.0,43.0,3.0,2.0,2.0,10.0,12.0,143.0,13.0,13.0,4531.0
2020-06-20,5.0,40.0,10.0,41.0,3.0,105.0,83.0,75.0,1.0,263.0,5.0,67.0,134.0,0.0,1362.0,25.0,65.0,3.0,14.0,57.0,12.0,33.0,21.0,12.0,10.0,3.0,1.0,1.0,169.0,10.0,4.0,19.0,9.0,3.0,4.0,1.0,42.0,6.0,14.0,3.0,178.0,3.0,8.0,68.0,13.0,9.0,28.0,18.0,11.0,5.0,6.0,4.0,5.0,5.0,10.0,1.0,30.0,2.0,2.0,26.0,11.0,6.0,108.0,10.0,2.0,3299.0
2020-06-19,4.0,45.0,9.0,80.0,24.0,70.0,5.0,36.0,1.0,340.0,18.0,191.0,158.0,0.0,903.0,28.0,32.0,13.0,14.0,88.0,10.0,25.0,6.0,36.0,19.0,5.0,5.0,21.0,208.0,4.0,7.0,60.0,5.0,1.0,2.0,3.0,26.0,6.0,13.0,36.0,5.0,4.0,6.0,109.0,4.0,5.0,2.0,15.0,34.0,13.0,8.0,3.0,20.0,1.0,3.0,11.0,41.0,3.0,1.0,1.0,3.0,27.0,136.0,4.0,6.0,3010.0
2020-06-18,14.0,38.0,5.0,40.0,19.0,81.0,91.0,10.0,1.0,368.0,22.0,143.0,387.0,0.0,1154.0,30.0,43.0,5.0,12.0,81.0,37.0,4.0,5.0,9.0,9.0,19.0,10.0,1.0,143.0,27.0,13.0,91.0,8.0,3.0,1.0,4.0,15.0,3.0,1.0,70.0,9.0,16.0,5.0,57.0,7.0,27.0,3.0,13.0,56.0,63.0,9.0,7.0,20.0,2.0,10.0,20.0,30.0,5.0,4.0,1.0,4.0,4.0,68.0,8.0,8.0,3427.0
2020-06-17,25.0,24.0,13.0,153.0,30.0,108.0,14.0,56.0,8.0,349.0,36.0,144.0,200.0,0.0,1519.0,40.0,31.0,34.0,13.0,86.0,18.0,7.0,7.0,48.0,4.0,2.0,6.0,9.0,173.0,32.0,3.0,39.0,7.0,3.0,45.0,6.0,31.0,6.0,2.0,14.0,7.0,12.0,12.0,287.0,21.0,20.0,2.0,14.0,37.0,38.0,7.0,11.0,23.0,12.0,7.0,30.0,33.0,1.0,10.0,1.0,6.0,80.0,72.0,5.0,2.0,4093.0
2020-06-16,0.0,11.0,16.0,52.0,5.0,26.0,1.0,19.0,3.0,41.0,1.0,433.0,768.0,298.0,316.0,130.0,115.0,53.0,5.0,50.0,50.0,20.0,2.0,26.0,40.0,7.0,0.0,0.0,7.0,38.0,11.0,9.0,0.0,1.0,5.0,1.0,4.0,1.0,14.0,0.0,81.0,0.0,2.0,54.0,5.0,5.0,1.0,36.0,10.0,8.0,56.0,48.0,16.0,2.0,20.0,3.0,32.0,0.0,21.0,0.0,0.0,0.0,58.0,1.0,51.0,4008.0
2020-06-15,5.0,4.0,0.0,0.0,80.0,0.0,0.0,51.0,0.0,88.0,1.0,71.0,169.0,28.0,410.0,0.0,39.0,25.0,6.0,8.0,7.0,0.0,0.0,11.0,43.0,8.0,0.0,4.0,0.0,16.0,0.0,6.0,1.0,2.0,24.0,2.0,0.0,1.0,1.0,60.0,23.0,0.0,2.0,41.0,6.0,1.0,6.0,0.0,30.0,11.0,0.0,69.0,94.0,7.0,1.0,0.0,12.0,9.0,26.0,0.0,0.0,47.0,1.0,0.0,1.0,3862.0
2020-06-14,7.0,2.0,0.0,13.0,27.0,0.0,1.0,0.0,0.0,118.0,0.0,39.0,166.0,56.0,378.0,0.0,0.0,50.0,7.0,12.0,1.0,1.0,7.0,13.0,3.0,9.0,0.0,4.0,45.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,44.0,3.0,3.0,0.0,0.0,30.0,13.0,0.0,4.0,15.0,20.0,1.0,1.0,20.0,4.0,43.0,5.0,1.0,61.0,0.0,2.0,0.0,3099.0
2020-06-13,18.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,86.0,3.0,41.0,3.0,36.0,486.0,1.0,102.0,38.0,5.0,17.0,19.0,1.0,0.0,21.0,0.0,11.0,0.0,23.0,42.0,45.0,2.0,2.0,0.0,3.0,59.0,3.0,0.0,0.0,0.0,40.0,23.0,1.0,6.0,7.0,11.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,19.0,4.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,3141.0
2020-06-12,0.0,1.0,3.0,6.0,0.0,0.0,0.0,44.0,0.0,72.0,2.0,66.0,106.0,65.0,348.0,0.0,4.0,1.0,9.0,13.0,0.0,0.0,19.0,11.0,3.0,2.0,0.0,0.0,32.0,19.0,3.0,24.0,0.0,0.0,22.0,6.0,0.0,1.0,0.0,73.0,25.0,0.0,1.0,44.0,2.0,2.0,6.0,0.0,0.0,16.0,0.0,2.0,22.0,0.0,1.0,0.0,20.0,2.0,7.0,13.0,0.0,23.0,0.0,0.0,0.0,2856.0
2020-06-11,1.0,5.0,3.0,4.0,10.0,0.0,21.0,7.0,1.0,127.0,7.0,94.0,31.0,87.0,848.0,1.0,86.0,49.0,9.0,23.0,33.0,1.0,2.0,17.0,2.0,6.0,0.0,0.0,31.0,18.0,5.0,42.0,0.0,3.0,4.0,3.0,1.0,2.0,0.0,3.0,35.0,0.0,5.0,93.0,5.0,3.0,13.0,0.0,63.0,29.0,0.0,1.0,8.0,6.0,1.0,0.0,29.0,1.0,0.0,0.0,0.0,46.0,0.0,2.0,0.0,3471.0
2020-06-10,7.0,14.0,0.0,16.0,0.0,0.0,28.0,7.0,0.0,126.0,4.0,99.0,171.0,208.0,577.0,0.0,49.0,70.0,4.0,36.0,4.0,0.0,13.0,14.0,5.0,4.0,0.0,10.0,41.0,69.0,3.0,18.0,1.0,2.0,62.0,5.0,0.0,0.0,0.0,182.0,93.0,0.0,17.0,29.0,3.0,2.0,1.0,0.0,42.0,0.0,0.0,2.0,1.0,9.0,4.0,9.0,21.0,6.0,16.0,22.0,2.0,48.0,0.0,0.0,0.0,3187.0
2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2743.0
2020-06-08,1.0,2.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,37.0,9.0,32.0,2.0,14.0,442.0,0.0,29.0,0.0,3.0,4.0,17.0,0.0,15.0,11.0,1.0,5.0,0.0,0.0,28.0,22.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,70.0,48.0,0.0,1.0,71.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,2635.0
2020-06-07,13.0,8.0,0.0,1.0,4.0,0.0,9.0,0.0,2.0,116.0,0.0,0.0,11.0,100.0,439.0,0.0,77.0,33.0,6.0,0.0,28.0,0.0,12.0,1.0,2.0,2.0,0.0,0.0,28.0,46.0,1.0,7.0,0.0,1.0,21.0,7.0,0.0,2.0,0.0,145.0,45.0,0.0,1.0,84.0,3.0,0.0,6.0,0.0,27.0,34.0,0.0,2.0,0.0,11.0,1.0,0.0,5.0,5.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,2828.0
